Category,Question,Answer,Njin Followups
People & Process,Who inside the team is currently responsible for spotting cross-sell opportunities?,"We provide the team with a framework for when to contact the customer, as well as scripting to try and identify the cross selling opportunity, however as mentioned before, this is very general and as a result doesn't get the highest conversion possible, and is subject to how well the team member is trained to deliver the scripting and how it is delivered on the day. ",
,Who decides which customer receives which offer?,"Our team presents the options to the customer, and the customer ultimately decides.",
,What is the ideal SLA to respond to existing customers (not new leads)?,immediately - worst case within 10-15 mins,
,"What happens when a customer reaches out through the wrong channel (e.g., calls the asset team but needs home loans)?",The team can transfer a call to the home loan team and vice versa,
,"Do you have any internal cross-sell targets, even informal ones?","Yes, right now they are 10 from each team (20 in total per month between FFG & FHL)",
Technology & Integration,"Can your LMS emit triggers such as settled, missed payment, loan expiry or renewal date?","The individual LMS's do not trigger any additional notifications post settlement, outside of tasks the team set, which they can set for specific dates and use the appropriate titles.",
,Do you have an ideal customer record layout defined (required fields plus notes)?,"Yes, when looking at the data that is possible to pull out of our LMS's, there are 42 fields that contain key customer avatar information plus notes. We can show you these on our call, and understand what is most valuable as we know this is a large number of fields.",
,Are there data points currently flowing through Zapier that should ideally land directly in the CRM?,"Yes, right now Zapier sends information from completed gravity forms into sendgrid. This would stop as the data from the completed forms would go straight to the CRM. Also, our typeforms that we use for applications on our website, would be integrated into go high level potentially. ",
,Will the new website have its own native forms or should everything migrate to GHL forms?,,
Social Proof & Content,Do you have real stories or testimonials from customers who used two products with you? (video or written).,Yes - Written reviews - almost 1000,
,Are there knowledge gaps that prevent customers from being open to cross-sell?,"Yes, they often don't realise the potential benefits, but also how easy things can be, e.g. someone interpreting they are years off a home loan, when they only need 5% deposit.",
,Which topics tend to bring customers back faster?,"Car loan, debt consolidation, and refinancing",
,What style of content builds the most trust for your audience?,"Blogs as we are able to provide more information and present a problem and how FFG and FHL can be their guide, in addition to reviews and testimonials", 
Commercial Strategy & Revenue,Does the sales team receive any incentive for cross-sell today?,"Yes, they receive a gift card when the loan settles ",
,Which product has the highest margin available for reinvesting in communication?,Unsure of what this question is asking for. ,
Hidden Opportunities,"Are there customer clusters with predictable patterns (e.g., car replacement every 3 years)?","Yes there are, however we don't use these as effectively as we could, because the journeys aren't mapped out. to be relevant to individual ICA's and loan types.",
,"Do you identify life-stage moments such as marriage, kids, new home or job changes?",How would we identify the data post settlement/application?,
,"For bad credit customers, how long do they usually take to return after fixing their situation?",90 Days,
,"On average, how long does it take for a customer to take a second personal loan?","12+ months, this might be a combination of refinancing their current loan, and getting additional funds on top",
,"What are the weak signals of intent you already notice (short replies, multiple email opens, visiting the blog)?",In general most signals we receive off our automation are weak signals,
,"What does the ideal “cross-sell now” customer look like, and what does the ideal “long-term nurturing” customer look like?","This looks different for different. ICA's. Two easy example would be someone getting their first or second car loan, and then setting them on a journey to get their first home loan, as well as someone with a mortgage buying a new car, and being referred to home loans for refinance. Long term nurture looks like a mix of new asset purchase, refinance to save money, consolidation to lower repayments, new asset purchase with the money saved, funds to travel/holiday, funds to renovate/purchase an investment, etc. ",
